title,description,price,category,stock_quantity,image_url_1,image_url_2,image_url_3,image_url_4
"Urban Streetwear Set","Oversized hoodie paired with cargo joggers and sneakers.","89.00","Fashion",100,"https://images.unsplash.com/photo-1515886657613-9f3515b0c78f","","",""
"Business Casual Ensemble","Slim-fit navy blazer with beige chinos and leather loafers.","150.00","Fashion",50,"https://images.unsplash.com/photo-1488161628813-04466f872be2","","",""
"Summer Floral Dress","Lightweight breathable cotton dress with floral patterns.","45.00","Fashion",200,"https://images.unsplash.com/photo-1496747611176-843222e1e57c","","",""
"Classic Denim Look","Vintage wash denim jacket with white t-shirt and black jeans.","110.00","Fashion",75,"https://images.unsplash.com/photo-1516762689617-e1cffcef479d","","",""
"Athletic Training Gear","Moisture-wicking compression shirt and matching gym shorts.","65.00","Fashion",150,"https://images.unsplash.com/photo-1517836357463-d25dfeac3438","","",""
"Evening Cocktail Outfit","Sleek black midi dress with gold accents.","95.00","Fashion",40,"https://images.unsplash.com/photo-1495385794356-15371f348c31","","",""
"Boho Winter Layers","Woolen oversized cardigan with corduroy trousers.","130.00","Fashion",60,"https://images.unsplash.com/photo-1434389677669-e08b4cac3105","","",""
"Minimalist Basics","Premium heavy cotton tee and pleated trousers.","55.00","Fashion",120,"https://images.unsplash.com/photo-1523381210434-271e8be1f52b","","",""
"Preppy Autumn Style","Knitted sweater vest over a crisp button-down shirt.","75.00","Fashion",80,"https://images.unsplash.com/photo-1509198397868-475647b2a1e5","","",""
"Weekend Adventure Outfit","Waterproof windbreaker with durable hiking pants.","140.00","Fashion",35,"https://images.unsplash.com/photo-1501503069356-3c6b82a17d89","","",""
